Property_ID,Property_Name,Address,City,State,Zip_Code,Units_Total,Units_Occupied,Units_Vacant,Avg_Rent_per_Unit,Total_Rent_Collected,Occupancy_Rate,Vacancy_Rate,Property_Type,Year_Built,Last_Inspection_Date,Next_Inspection_Date,Maintenance_Issues_Open,Maintenance_Issues_Closed,Manager_Name,Manager_Email,Manager_Phone,Has_Parking,Has_Laundry,Has_Elevator,Pet_Friendly,Fire_Safety_Compliant
P1035,Munoz-Macias,26298 Young Hill Suite 120,North Dana,TN,89461,132,85,47,1142.28,97093.8,64.39,35.61,Industrial,2013,2025-04-06,2025-11-09,4,11,Bryce Russell,john59@yahoo.com,+1-942-369-4696x35784,Yes,Yes,No,No,Yes
P1036,"Day, Phillips and Gardner",264 Ward Mountains,East Sandra,IL,15467,112,97,15,2459.76,238596.72,86.61,13.39,Multifamily,1972,2024-10-22,2026-03-16,9,19,Haley Kennedy,angelica97@hotmail.com,+1-619-084-9672x45204,No,No,No,No,Yes
P1037,Johnson-Oconnor,610 Chung Trail,Jenniferport,FL,72886,119,119,0,909.48,108228.12,100.0,0.0,Industrial,1983,2023-10-20,2026-02-09,13,13,Alyssa Ramsey,cgross@grant-newton.com,720.816.3719x886,No,Yes,Yes,No,Yes
P1038,Poole-Choi,7250 Howell Bridge Apt. 917,Woodview,TX,61571,37,32,5,979.48,31343.36,86.49,13.51,Office,2003,2023-08-05,2026-01-26,0,8,Paul Nelson,inelson@hotmail.com,659-494-6479,No,Yes,No,Yes,Yes
P1039,Johnson-Walls,365 Clark Dam Suite 770,Annchester,PA,48971,135,94,41,1774.85,166835.9,69.63,30.37,Retail,2020,2024-10-19,2025-09-19,11,20,Timothy Cook,hardyjoshua@yahoo.com,+1-554-181-0597,No,No,No,No,Yes
P1040,Fischer LLC,248 Hall Well Apt. 929,North Anthonyshire,TX,51928,123,96,27,1732.83,166351.68,78.05,21.95,Industrial,1996,2024-04-15,2025-08-26,7,25,Tara Harding,kking@gomez.com,792-172-5954x229,No,No,No,No,Yes
P1041,Smith Group,6131 Edwards Field,Lake Toniton,AR,38753,28,21,7,2135.57,44846.97,75.0,25.0,Office,1988,2023-08-21,2025-09-03,13,30,Amanda Little MD,ogarcia@robinson.org,108.806.0650,Yes,No,No,Yes,No
P1042,Buchanan-Frazier,6566 Christina Freeway,Lindsaychester,IL,31826,30,24,6,1711.2,41068.8,80.0,20.0,Multifamily,1989,2023-12-25,2026-05-12,5,1,Jessica Gonzalez,pbailey@yahoo.com,(911)573-6953x00568,Yes,No,No,Yes,Yes
P1043,Scott and Sons,22495 Torres Isle Suite 693,Jonathanfort,AL,54252,92,57,35,1274.25,72632.25,61.96,38.04,Industrial,2009,2023-12-30,2026-01-26,2,2,Stephen Elliott,ryan39@bell-bryant.net,421.215.3999x14509,No,Yes,No,Yes,Yes
P1044,"Rowe, Perez and Carlson",1529 Eric Plaza Apt. 926,Jefferyfort,AZ,60158,47,46,1,1927.16,88649.36,97.87,2.13,Multifamily,1978,2023-10-13,2025-12-10,11,21,David Mendez,stevengraham@mcfarland.com,143.526.5600x276,Yes,Yes,Yes,No,Yes
P1045,Chen Group,23750 Thomas Fork,North Ashleyborough,TX,97464,26,18,8,1559.38,28068.84,69.23,30.77,Retail,2009,2024-11-20,2026-03-26,2,20,Sean Buck DDS,travis56@hampton-patterson.com,001-592-992-6947x0423,No,No,No,No,No
P1046,Dorsey LLC,7238 Lee Port,North Kathyland,GA,78805,42,29,13,1043.96,30274.84,69.05,30.95,Multifamily,1984,2023-07-22,2026-03-06,0,12,Edwin Moore,gregory31@davis-white.com,117.442.4555,No,Yes,No,Yes,No
P1047,"Rosario, Glenn and Hickman",4263 Ramos Wells,Schmittchester,OH,99941,80,49,31,2292.08,112311.92,61.25,38.75,Office,1992,2024-11-04,2026-04-20,12,11,Chase Frye,frankoneill@yahoo.com,888-157-3786x607,No,No,No,No,Yes
P1048,"Peterson, Herrera and Bailey",34460 James Corners Apt. 035,Port Jessicatown,AR,93923,150,106,44,2104.9,223119.4,70.67,29.33,Multifamily,1993,2025-05-05,2025-08-03,15,16,Diane Johnson,bstout@cooper-morrow.info,439.534.6898,Yes,No,Yes,No,Yes
P1049,"Burns, Haynes and Lynn",7847 Frazier Keys Suite 281,East Christinahaven,KS,59439,93,90,3,1959.26,176333.4,96.77,3.23,Office,1986,2023-12-12,2026-02-21,1,25,Laura Crane,michellesmall@yahoo.com,937.327.8723x95551,Yes,No,No,Yes,Yes
P1050,Moore-Baker,14754 Chambers Dam Apt. 337,Finleyville,OK,29716,107,101,6,1478.52,149330.52,94.39,5.61,Industrial,1970,2023-08-17,2026-02-10,12,23,Eric Wells,michelle65@anderson-maxwell.com,037.991.9957,Yes,No,Yes,No,Yes
P1051,Anderson-Russell,057 Ashley Lights,North Christine,HI,37805,145,124,21,1285.14,159357.36,85.52,14.48,Industrial,2012,2023-08-28,2025-12-31,11,21,Dustin Hurst,williamsanthony@martin.com,001-423-656-1155x9698,No,Yes,No,No,No
P1052,Oliver-Byrd,283 Henderson Greens Suite 239,Mollyton,TN,01427,85,77,8,2965.78,228365.06,90.59,9.41,Office,1972,2025-04-12,2026-05-06,8,5,Gina Diaz,crobbins@hotmail.com,568-372-6584x85510,Yes,No,Yes,Yes,Yes
P1053,"Montes, Davis and Burnett",97628 Wright Knolls,Hallside,TX,53357,126,93,33,920.52,85608.36,73.81,26.19,Retail,2011,2024-01-10,2026-05-24,0,30,Robert Gray,morrowfrancisco@abbott.com,148-011-4359,Yes,Yes,No,Yes,No
P1054,Davis Group,35048 Short Junctions,East Alexandra,NE,66918,139,92,47,1249.73,114975.16,66.19,33.81,Retail,1998,2024-06-12,2025-08-11,11,0,John Baker,hallamber@yahoo.com,295-805-8885,Yes,Yes,No,Yes,No
P1055,Jones-Tanner,3220 Clark Isle,North Claire,VA,40487,120,84,36,2879.71,241895.64,70.0,30.0,Retail,1968,2023-09-16,2025-08-16,2,4,Zachary Crosby,xmorris@gmail.com,+1-773-261-5032x231,No,No,No,No,Yes
P1056,"Lopez, Hardy and Ryan",264 Johnston Rue,New Chad,DE,52355,35,26,9,2488.17,64692.42,74.29,25.71,Industrial,2015,2024-12-02,2025-10-15,11,27,Reginald Vaughn,sharonchambers@mckee.com,+1-913-825-4904x865,Yes,No,No,Yes,No
P1057,Ferguson PLC,6932 Caitlin Forges Apt. 957,Lake Teresa,OK,42337,39,30,9,2481.15,74434.5,76.92,23.08,Industrial,1976,2025-01-05,2026-05-07,7,19,Andrea Brown,jonesrussell@watson.com,+1-959-940-0075x325,Yes,Yes,Yes,No,Yes
P1058,Spencer-Joseph,99197 Stevenson Valley,Smithland,WY,01955,65,51,14,1436.78,73275.78,78.46,21.54,Retail,1963,2024-04-07,2026-02-12,3,21,Jonathan Aguirre,garciadanielle@gmail.com,(078)616-4802,No,No,Yes,No,Yes
P1059,Black Group,3098 David River,West Angela,KS,46824,120,108,12,1063.97,114908.76,90.0,10.0,Multifamily,2001,2024-07-08,2026-01-21,10,25,Christopher Mcdowell,edwardbass@hotmail.com,+1-648-735-1343x1765,Yes,No,No,No,No
P1060,Russell Ltd,2557 Vance Street Suite 540,Edwardsmouth,AR,34792,125,90,35,1894.25,170482.5,72.0,28.0,Retail,1990,2024-07-21,2026-01-12,4,14,Kayla Madden,iarnold@briggs.com,+1-245-948-6013x0403,No,No,No,No,No
P1061,Middleton-Combs,869 Anderson Crest Apt. 326,Caitlinmouth,ND,27185,68,55,13,1747.44,96109.2,80.88,19.12,Multifamily,2015,2023-10-06,2026-01-26,1,1,Anthony Martinez,michael89@padilla.com,411-255-2008,No,Yes,Yes,Yes,No
P1062,Ingram-Johnson,29575 Powell Estates,Contrerastown,IL,87604,115,104,11,1084.21,112757.84,90.43,9.57,Retail,1983,2025-05-02,2025-08-04,11,4,Deborah Turner,adamsantana@roberson.com,(255)467-6960,Yes,Yes,Yes,Yes,Yes
P1063,Johnson PLC,2647 Matthew Knoll Suite 869,Kyleton,MS,56737,96,78,18,1971.68,153791.04,81.25,18.75,Multifamily,1995,2024-09-25,2025-11-29,10,2,Jesse Gonzalez,michaelfrench@gmail.com,001-069-741-7369x5280,No,Yes,Yes,Yes,Yes
P1064,Martinez and Sons,40096 Carpenter Skyway,North Christopherbury,PA,00545,126,91,35,1306.24,118867.84,72.22,27.78,Industrial,2019,2024-03-27,2026-03-22,5,7,Lisa Lopez,kirstenmcconnell@gmail.com,(619)966-0392x96561,Yes,No,Yes,No,No
P1065,Bolton Ltd,0141 Kelley Lock Suite 643,Jennifermouth,OK,33477,112,98,14,2029.19,198860.62,87.5,12.5,Retail,1966,2024-05-18,2026-01-28,14,24,Christopher Walker,brittany62@gmail.com,+1-576-296-4817x669,No,No,Yes,No,No
P1066,Sullivan Ltd,3459 Kathy Corners,Lake Richardstad,VT,48684,116,115,1,2269.71,261016.65,99.14,0.86,Retail,2005,2024-09-04,2026-06-11,15,20,Michael Jones,gwallace@yahoo.com,001-885-467-5687,Yes,No,Yes,Yes,Yes
P1067,"Welch, Archer and Ross",91355 Kelly Pike Suite 267,Jenniferfort,MI,49672,34,30,4,1579.17,47375.1,88.24,11.76,Office,2014,2024-07-31,2025-08-11,5,11,Denise Collins,glenn84@lopez.com,076.018.3533x9109,No,No,Yes,Yes,No
P1068,"Sloan, Shaffer and Gutierrez",4957 Pena Tunnel Suite 497,Kristyshire,NH,14016,90,85,5,1673.56,142252.6,94.44,5.56,Retail,1993,2025-03-11,2025-11-24,4,11,Bruce Bell,cjones@hotmail.com,762-564-6146x914,Yes,Yes,Yes,Yes,No
P1069,Winters-Rose,214 Bryant Glen Apt. 774,Port Ashley,WV,08759,119,100,19,2432.49,243249.0,84.03,15.97,Multifamily,2014,2024-07-22,2026-06-10,2,12,Dr. Brittany Mitchell,karenyoung@roman.net,783-823-0499,Yes,Yes,Yes,Yes,No
P1070,"Perkins, Peters and Smith",5599 Steven Port,Hamiltonbury,FL,10755,90,64,26,1759.68,112619.52,71.11,28.89,Office,1967,2023-12-17,2025-09-25,14,30,Teresa Pruitt,jgregory@yahoo.com,307.443.8232,Yes,No,No,Yes,No
P1071,"Mitchell, Daniels and Duke",752 Pierce Ports,Port Rebeccaborough,KS,52125,75,68,7,1811.46,123179.28,90.67,9.33,Retail,1978,2024-05-24,2025-09-05,1,18,Mr. Robert Richardson,haydenfrank@rice.info,(121)803-3131x2184,Yes,Yes,No,Yes,No
P1072,Lopez Group,32165 Tiffany Roads Apt. 899,Davisburgh,RI,64202,105,85,20,971.3,82560.5,80.95,19.05,Retail,1965,2024-09-07,2026-04-04,9,1,Joseph Blake,odunlap@castillo.info,525-761-1946,No,Yes,No,No,Yes
P1073,"Whitehead, Castro and Davis",77402 Shawn Square Apt. 645,Martinmouth,MO,49521,49,34,15,1488.73,50616.82,69.39,30.61,Industrial,2008,2024-07-10,2026-02-25,6,19,Tammy Moore,stevenbrown@hotmail.com,792-422-3304,Yes,Yes,Yes,No,No
P1074,"Jordan, Wilson and Cervantes",091 Leslie Pine,Patrickfurt,OH,37712,131,86,45,1744.43,150020.98,65.65,34.35,Office,1970,2024-02-14,2025-11-02,1,4,Teresa Wallace,amber08@lozano.com,(977)328-2210,Yes,Yes,Yes,Yes,No
P1075,Mcfarland Ltd,966 Smith Passage,Ramostown,MO,26344,27,27,0,1689.73,45622.71,100.0,0.0,Multifamily,1977,2024-08-17,2026-02-15,6,21,Elizabeth Simpson,marccarpenter@brown-lopez.com,365.033.5513x34832,Yes,No,Yes,Yes,Yes
P1076,King-Hudson,816 Castro Extensions,Brownshire,FL,36765,33,27,6,2208.31,59624.37,81.82,18.18,Retail,1988,2024-01-24,2025-12-12,1,14,Amy Martin,monique49@schroeder-pittman.net,+1-139-014-8572x7732,Yes,No,Yes,No,No
P1077,Ramos Inc,043 Sutton Walks,Larsonshire,SC,11730,31,25,6,1436.93,35923.25,80.65,19.35,Industrial,2017,2024-03-09,2026-04-14,10,30,Wendy Garcia,matthew77@yahoo.com,(401)508-6658x05155,No,No,No,Yes,Yes
P1078,Davis and Sons,027 Burke Drive Suite 365,West Ana,WA,81066,33,21,12,1691.07,35512.47,63.64,36.36,Retail,1992,2025-05-09,2025-08-03,9,11,Douglas Ramos,stephaniepeterson@brown-lewis.org,563.208.9319,Yes,Yes,No,No,Yes
P1079,Morgan Inc,906 Lyons Landing Apt. 030,West Christopher,WY,47641,120,106,14,2925.64,310117.84,88.33,11.67,Office,1969,2024-05-09,2025-09-09,12,11,Marvin Walker,kevinsmith@gmail.com,098.496.7657,No,Yes,No,Yes,No
P1080,Parker and Sons,9919 Lewis Drive,Villarrealton,AL,46174,34,30,4,1178.12,35343.6,88.24,11.76,Multifamily,2013,2024-03-21,2026-01-17,15,14,Kimberly Williams,amybrown@gmail.com,945-056-8000x494,Yes,No,Yes,No,Yes
P1081,Washington-Waters,723 Vanessa Stream,Christyview,WY,44197,105,66,39,2884.75,190393.5,62.86,37.14,Industrial,1987,2024-12-28,2025-09-20,8,24,Mackenzie Santana,gregory05@peterson.com,791-794-7610,No,No,No,Yes,No
P1082,Davis Group,2361 Barbara Summit,New Cassandraborough,WI,00564,43,41,2,1812.21,74300.61,95.35,4.65,Retail,1965,2023-06-27,2025-11-18,1,2,Eileen Mathews,wernerraymond@hotmail.com,472.384.4816x6477,No,Yes,No,No,Yes
P1083,Martinez Inc,297 Kent Trail,East Sabrina,RI,43486,25,15,10,2317.14,34757.1,60.0,40.0,Multifamily,2020,2024-04-09,2026-05-14,6,18,Adam Cross,brandon54@hotmail.com,001-459-208-5891x49970,No,No,No,No,No
P1084,"Brown, Vaughan and Trujillo",3314 Young Island Suite 005,Melissaton,ME,20826,94,60,34,1596.08,95764.8,63.83,36.17,Retail,2018,2025-04-07,2025-12-27,9,4,Thomas Miller,alexandra26@gmail.com,873.919.4190x12035,No,No,Yes,Yes,No
P1085,Flores Ltd,78491 Robert Viaduct Apt. 760,Codymouth,CO,06039,41,25,16,1760.77,44019.25,60.98,39.02,Retail,1974,2024-10-26,2026-03-05,11,16,Richard Crawford,wvang@yahoo.com,649.900.9205x703,Yes,No,Yes,No,Yes
P1086,Russell-Garcia,29812 Clark Meadows,Lake Susanhaven,WA,29442,115,69,46,1032.9,71270.1,60.0,40.0,Office,2012,2024-03-11,2026-02-05,1,11,Danny Griffith,kjohnson@gmail.com,(772)827-7759x480,No,No,Yes,No,No
P1087,"Hamilton, Benson and Thompson",59134 Turner Light Apt. 855,Heatherview,FL,04094,100,86,14,1758.49,151230.14,86.0,14.0,Office,1988,2024-05-04,2025-07-20,10,12,Eric Evans,sarataylor@francis.com,261.277.9130,No,No,Yes,Yes,Yes
P1088,"Jefferson, Green and Miranda",077 Kevin Road Suite 843,Melvinstad,GA,72012,118,78,40,1680.99,131117.22,66.1,33.9,Retail,2016,2024-05-07,2026-03-24,8,10,Jessica Snow,sheila54@goodman.info,+1-934-920-0483,No,No,Yes,No,No
P1089,"Marshall, Smith and Norton",094 Ryan Club Suite 729,West Rachelfort,MS,08954,23,23,0,973.02,22379.46,100.0,0.0,Industrial,1982,2025-04-29,2026-02-17,3,20,Mark Nelson,hunter87@yahoo.com,(953)648-8067x557,Yes,Yes,No,No,Yes
P1090,Morris-Williams,5198 Shaun Glens,South Erinville,NE,86394,83,63,20,2715.15,171054.45,75.9,24.1,Office,2019,2024-06-22,2026-04-23,11,8,Robert Berger,charles71@yahoo.com,001-267-599-6529x7526,Yes,No,Yes,Yes,No
P1091,Johnson Ltd,38394 Jeffrey Ford Apt. 353,Lake Brent,WA,75916,89,57,32,2440.77,139123.89,64.04,35.96,Office,1961,2024-12-19,2025-10-21,13,7,Michael Parker,jennifer54@sweeney-sanders.com,466-734-9654x059,Yes,No,Yes,Yes,Yes
P1092,White-Crawford,162 Larry Vista,Debrachester,UT,31600,100,69,31,1287.46,88834.74,69.0,31.0,Office,1986,2024-11-18,2025-12-30,12,30,Sarah Beard DVM,tinacurry@yahoo.com,+1-091-287-9962x35971,No,Yes,No,Yes,No
P1093,Campos Group,23567 Buckley Way,Sanderschester,MS,19328,36,21,15,2514.06,52795.26,58.33,41.67,Office,1963,2023-08-01,2025-08-31,14,3,Charles Leonard,dodsonelizabeth@hotmail.com,568.691.1815,No,No,No,Yes,No
P1094,"Ruiz, Lambert and Key",87967 Owens Overpass Suite 195,North Melody,HI,50146,139,96,43,968.03,92930.88,69.06,30.94,Multifamily,1985,2023-10-21,2025-07-24,12,0,Maria Thompson,gregory40@hotmail.com,527.923.5104x4959,No,No,Yes,No,Yes
P1095,Solis LLC,0213 Cox Road,Bakerton,TX,95007,64,54,10,2193.09,118426.86,84.38,15.62,Retail,1992,2024-04-07,2025-09-05,10,23,George Williamson,frederickfitzgerald@wagner-martinez.com,001-651-556-6457x46082,No,Yes,No,No,Yes
P1096,Rosario LLC,573 Nichols Village Suite 409,Lake Kim,MA,96503,49,43,6,1967.33,84595.19,87.76,12.24,Multifamily,1983,2024-11-23,2026-02-25,5,5,Cheryl Adkins,jennifer89@yahoo.com,808-689-0499x563,Yes,No,Yes,Yes,Yes
P1097,Chapman-Trujillo,17636 Christina Roads Suite 823,Mitchellfort,KY,64856,133,102,31,1226.59,125112.18,76.69,23.31,Multifamily,1975,2025-01-31,2026-02-20,15,15,Gabrielle Jacobs,heatheradams@simpson-martinez.biz,(388)520-1249x819,No,No,Yes,Yes,No
P1098,"Patterson, Bell and Ellis",84069 White Landing Suite 696,Russoland,IN,65882,67,41,26,2507.7,102815.7,61.19,38.81,Retail,1984,2024-06-22,2025-12-22,15,16,Micheal Hopkins,sharon25@green-james.com,001-175-072-4894x409,Yes,Yes,No,Yes,No
P1099,Brown-Byrd,028 Troy Via Apt. 625,Davidport,NV,77395,37,37,0,1572.42,58179.54,100.0,0.0,Office,1965,2024-08-20,2026-04-01,11,12,Maria Brown,ymorales@hotmail.com,(966)763-8799x676,No,Yes,Yes,No,Yes
